18S_rRNA	18S_rRNA.1	DOID:9643	Babesiosis	7.225	3.612	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=18S_rRNA&type2=-26&id2=DOID:9643
BISPR	BISPR	DOID:1612	Breast cancer	1.262	0.631	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BISPR&type2=-26&id2=DOID:1612
BOK-AS1	BOK-AS1	DOID:1612	Breast cancer	1.014	0.507	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BOK-AS1&type2=-26&id2=DOID:1612
BOLA3-AS1	BOLA3-AS1	DOID:1612	Breast cancer	1.046	0.523	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BOLA3-AS1&type2=-26&id2=DOID:1612
BPESC1	BPESC1	DOID:1612	Breast cancer	2.027	1.013	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BPESC1&type2=-26&id2=DOID:1612
BRE-AS1	BRE-AS1	DOID:1612	Breast cancer	1.188	0.594	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BRE-AS1&type2=-26&id2=DOID:1612
BVES-AS1	BVES-AS1	DOID:1612	Breast cancer	1.414	0.707	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BVES-AS1&type2=-26&id2=DOID:1612
BZRAP1-AS1	BZRAP1-AS1	DOID:1612	Breast cancer	2.162	1.081	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=BZRAP1-AS1&type2=-26&id2=DOID:1612
C15orf59-AS1	C15orf59-AS1	DOID:1612	Breast cancer	1.232	0.616	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=C15orf59-AS1&type2=-26&id2=DOID:1612
C1QTNF1-AS1	C1QTNF1-AS1	DOID:1612	Breast cancer	1.432	0.716	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=C1QTNF1-AS1&type2=-26&id2=DOID:1612
C1orf132	C1orf132	DOID:1612	Breast cancer	1.721	0.861	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=C1orf132&type2=-26&id2=DOID:1612
C3orf67-AS1	C3orf67-AS1	DOID:1612	Breast cancer	1.902	0.951	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=C3orf67-AS1&type2=-26&id2=DOID:1612
C5orf66	C5orf66	DOID:1612	Breast cancer	1.178	0.589	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=C5orf66&type2=-26&id2=DOID:1612
C5orf66-AS1	C5orf66-AS1	DOID:1612	Breast cancer	2.537	1.268	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=C5orf66-AS1&type2=-26&id2=DOID:1612
C6orf99	C6orf99	DOID:1612	Breast cancer	2.435	1.218	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=C6orf99&type2=-26&id2=DOID:1612
C8orf17	C8orf17	DOID:1612	Breast cancer	1.117	0.558	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=C8orf17&type2=-26&id2=DOID:1612
C9orf163	C9orf163	DOID:1612	Breast cancer	1.344	0.672	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=C9orf163&type2=-26&id2=DOID:1612
CACNA1C-IT3	CACNA1C-IT3	DOID:1612	Breast cancer	1.004	0.502	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CACNA1C-IT3&type2=-26&id2=DOID:1612
CACNA1G-AS1	CACNA1G-AS1	DOID:1612	Breast cancer	1.754	0.877	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CACNA1G-AS1&type2=-26&id2=DOID:1612
CADM3-AS1	CADM3-AS1	DOID:1612	Breast cancer	1.833	0.917	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CADM3-AS1&type2=-26&id2=DOID:1612
CAHM	CAHM	DOID:1612	Breast cancer	2.049	1.024	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CAHM&type2=-26&id2=DOID:1612
CARD8-AS1	CARD8-AS1	DOID:1612	Breast cancer	1.551	0.776	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CARD8-AS1&type2=-26&id2=DOID:1612
CASC11	CASC11	DOID:1612	Breast cancer	3.134	1.567	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CASC11&type2=-26&id2=DOID:1612
CASC15	CASC15	DOID:1612	Breast cancer	3.525	1.763	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CASC15&type2=-26&id2=DOID:1612
CASC16	CASC16	DOID:1612	Breast cancer	3.443	1.721	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CASC16&type2=-26&id2=DOID:1612
CASC19	CASC19	DOID:1612	Breast cancer	2.583	1.292	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CASC19&type2=-26&id2=DOID:1612
CASC2	CASC2	DOID:1612	Breast cancer	3.794	1.897	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CASC2&type2=-26&id2=DOID:1612
CASC21	CASC21	DOID:1612	Breast cancer	1.545	0.773	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CASC21&type2=-26&id2=DOID:1612
CASC22	CASC22	DOID:1612	Breast cancer	1.860	0.930	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CASC22&type2=-26&id2=DOID:1612
CASC8	CASC8	DOID:1612	Breast cancer	2.997	1.498	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CASC8&type2=-26&id2=DOID:1612
CASC9	CASC9	DOID:1612	Breast cancer	3.753	1.877	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CASC9&type2=-26&id2=DOID:1612
CBR3-AS1	CBR3-AS1	DOID:1612	Breast cancer	3.225	1.613	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CBR3-AS1&type2=-26&id2=DOID:1612
CCAT1	CCAT1	DOID:1612	Breast cancer	4.484	2.242	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CCAT1&type2=-26&id2=DOID:1612
CCAT2	CCAT2	DOID:1612	Breast cancer	4.501	2.250	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CCAT2&type2=-26&id2=DOID:1612
CCDC144NL-AS1	CCDC144NL-AS1	DOID:1612	Breast cancer	1.809	0.904	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CCDC144NL-AS1&type2=-26&id2=DOID:1612
CCDC18-AS1	CCDC18-AS1	DOID:1612	Breast cancer	2.026	1.013	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CCDC18-AS1&type2=-26&id2=DOID:1612
CCDC26	CCDC26	DOID:1612	Breast cancer	3.066	1.533	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CCDC26&type2=-26&id2=DOID:1612
CCEPR	CCEPR	DOID:1612	Breast cancer	2.125	1.063	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CCEPR&type2=-26&id2=DOID:1612
CCND2-AS1	CCND2-AS1	DOID:1612	Breast cancer	2.110	1.055	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CCND2-AS1&type2=-26&id2=DOID:1612
CD27-AS1	CD27-AS1	DOID:1612	Breast cancer	1.053	0.527	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CD27-AS1&type2=-26&id2=DOID:1612
CDKN2B-AS1	CDKN2B-AS1	DOID:1612	Breast cancer	4.755	2.378	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CDKN2B-AS1&type2=-26&id2=DOID:1612
CDR1-AS	CDR1-AS	DOID:1612	Breast cancer	4.236	2.118	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CDR1-AS&type2=-26&id2=DOID:1612
CDR1as	CDR1as	DOID:1612	Breast cancer	2.190	1.095	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CDR1as&type2=-26&id2=DOID:1612
CEBPA-AS1	CEBPA-AS1	DOID:1612	Breast cancer	1.719	0.859	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CEBPA-AS1&type2=-26&id2=DOID:1612
CECR7	CECR7	DOID:1612	Breast cancer	1.540	0.770	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CECR7&type2=-26&id2=DOID:1612
CELF2-AS1	CELF2-AS1	DOID:1612	Breast cancer	1.077	0.539	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CELF2-AS1&type2=-26&id2=DOID:1612
CERS6-AS1	CERS6-AS1	DOID:1612	Breast cancer	2.813	1.407	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CERS6-AS1&type2=-26&id2=DOID:1612
CH17-118O6.2	CH17-118O6.2	DOID:1612	Breast cancer	1.826	0.913	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CH17-118O6.2&type2=-26&id2=DOID:1612
CH17-437K3.1	CH17-437K3.1	DOID:1612	Breast cancer	1.332	0.666	https://diseases.jensenlab.org/Entity?documents=10&type1=9606&id1=CH17-437K3.1&type2=-26&id2=DOID:1612
